gasdate,openprice,highprice,lowprice,closeprice,volume
"2015-11-11 00:00:00",2.332,2.35,2.249,2.263,162914
"2015-11-12 00:00:00",2.265,2.313,2.234,2.26,151541
"2015-11-13 00:00:00",2.285,2.391,2.284,2.361,167723
"2015-11-16 00:00:00",2.449,2.46,2.33,2.385,157363
"2015-11-17 00:00:00",2.333,2.396,2.285,2.371,125018
"2015-11-18 00:00:00",2.368,2.41,2.328,2.347,104245
"2015-11-19 00:00:00",2.328,2.376,2.255,2.276,146821
"2015-11-20 00:00:00",2.26,2.275,2.123,2.145,136869
"2015-11-23 00:00:00",2.111,2.226,2.051,2.21,83260
"2015-11-24 00:00:00",2.206,2.218,2.13,2.2,57912
"2015-11-25 00:00:00",2.196,2.235,2.133,2.206,10361
"2015-11-26 00:00:00",2.301,2.302,2.2365,2.243,0
"2015-11-27 00:00:00",2.289,2.305,2.205,2.212,68463
"2015-11-30 00:00:00",2.175,2.25,2.175,2.235,93354
"2015-12-01 00:00:00",2.23,2.259,2.193,2.231,140269
"2015-12-02 00:00:00",2.221,2.225,2.151,2.165,133512
"2015-12-03 00:00:00",2.174,2.2,2.131,2.181,143065
"2015-12-04 00:00:00",2.198,2.211,2.167,2.186,85242
"2015-12-07 00:00:00",2.159,2.162,2.06,2.067,188741
"2015-12-08 00:00:00",2.068,2.093,2.014,2.07,172495
"2015-12-09 00:00:00",2.08,2.118,2.048,2.062,153581
"2015-12-10 00:00:00",2.065,2.099,1.999,2.015,186400
"2015-12-11 00:00:00",2.003,2.011,1.959,1.99,168113
"2015-12-14 00:00:00",1.913,1.923,1.862,1.894,140549
"2015-12-15 00:00:00",1.9,1.905,1.795,1.822,171961
"2015-12-16 00:00:00",1.804,1.849,1.775,1.79,157968
"2015-12-17 00:00:00",1.825,1.854,1.734,1.755,213109
"2015-12-18 00:00:00",1.738,1.805,1.684,1.767,150915
"2015-12-21 00:00:00",1.836,1.948,1.787,1.911,182619
"2015-12-22 00:00:00",1.929,1.939,1.863,1.888,112282
"2015-12-23 00:00:00",1.912,2.009,1.871,1.983,102217
"2015-12-24 00:00:00",1.994,2.052,1.977,2.029,47512
"2015-12-28 00:00:00",2.082,2.248,2.067,2.228,65772
"2015-12-29 00:00:00",2.238,2.387,2.235,2.372,12457
"2015-12-30 00:00:00",2.322,2.335,2.188,2.214,134926
"2015-12-31 00:00:00",2.273,2.378,2.27,2.337,144665
"2016-01-04 00:00:00",2.366,2.375,2.239,2.334,135238
"2016-01-05 00:00:00",2.29,2.346,2.255,2.325,123923
"2016-01-06 00:00:00",2.345,2.36,2.241,2.267,166278
"2016-01-07 00:00:00",2.29,2.429,2.271,2.382,214462
"2016-01-08 00:00:00",2.397,2.495,2.377,2.472,163907
"2016-01-11 00:00:00",2.446,2.48,2.355,2.396,146842
"2016-01-12 00:00:00",2.362,2.366,2.241,2.257,157603
"2016-01-13 00:00:00",2.263,2.323,2.256,2.269,137810
"2016-01-14 00:00:00",2.274,2.294,2.126,2.139,156658
"2016-01-15 00:00:00",2.144,2.153,2.086,2.1,103815
"2016-01-17 00:00:00",2.0915,2.0915,2.0455,2.0515,0
"2016-01-18 00:00:00",2.052,2.133,2.0445,2.1045,0
"2016-01-19 00:00:00",2.055,2.17,2.044,2.091,133091
"2016-01-20 00:00:00",2.091,2.149,2.067,2.118,106102
"2016-01-21 00:00:00",2.135,2.189,2.08,2.138,161148
"2016-01-22 00:00:00",2.149,2.168,2.112,2.139,92561
"2016-01-25 00:00:00",2.156,2.175,2.081,2.158,59778
"2016-01-26 00:00:00",2.144,2.219,2.128,2.18,47007
"2016-01-27 00:00:00",2.177,2.241,2.161,2.189,11477
"2016-01-28 00:00:00",2.145,2.231,2.088,2.182,183962
"2016-01-29 00:00:00",2.224,2.315,2.218,2.298,181501
"2016-02-01 00:00:00",2.213,2.228,2.127,2.152,174774
"2016-02-02 00:00:00",2.136,2.14,1.976,2.025,215715
"2016-02-03 00:00:00",2.036,2.065,1.992,2.038,124472
"2016-02-04 00:00:00",2.042,2.048,1.954,1.972,153156
"2016-02-05 00:00:00",1.981,2.076,1.981,2.063,165224
"2016-02-08 00:00:00",2.106,2.172,2.105,2.14,197084
"2016-02-09 00:00:00",2.129,2.134,2.065,2.098,144489
"2016-02-10 00:00:00",2.097,2.109,2.017,2.046,147136
"2016-02-11 00:00:00",2.052,2.093,1.98,1.994,163827
"2016-02-12 00:00:00",1.994,2.025,1.951,1.966,102013
"2016-02-14 00:00:00",1.934,1.9525,1.9265,1.937,0
"2016-02-15 00:00:00",1.9355,1.962,1.9115,1.9175,0
"2016-02-16 00:00:00",1.952,1.963,1.879,1.903,135735
"2016-02-17 00:00:00",1.925,1.96,1.893,1.942,108686
"2016-02-18 00:00:00",1.948,1.954,1.849,1.852,144732
"2016-02-19 00:00:00",1.856,1.87,1.794,1.804,110286
"2016-02-22 00:00:00",1.784,1.844,1.767,1.821,92455
"2016-02-23 00:00:00",1.832,1.848,1.773,1.782,54649
"2016-02-24 00:00:00",1.785,1.808,1.761,1.778,41977
"2016-02-25 00:00:00",1.773,1.776,1.682,1.711,11512
"2016-02-26 00:00:00",1.786,1.805,1.731,1.791,115553
"2016-02-29 00:00:00",1.711,1.737,1.69,1.711,173244
"2016-03-01 00:00:00",1.707,1.775,1.685,1.742,192966
"2016-03-02 00:00:00",1.741,1.746,1.657,1.678,128726
"2016-03-03 00:00:00",1.672,1.695,1.63,1.639,139558
"2016-03-04 00:00:00",1.626,1.675,1.611,1.666,100277
"2016-03-07 00:00:00",1.628,1.74,1.612,1.69,158881
"2016-03-08 00:00:00",1.707,1.74,1.678,1.712,147454
"2016-03-09 00:00:00",1.727,1.784,1.715,1.752,160681
"2016-03-10 00:00:00",1.764,1.812,1.733,1.788,183310
"2016-03-11 00:00:00",1.799,1.859,1.792,1.822,135380
"2016-03-14 00:00:00",1.818,1.857,1.771,1.819,111237
"2016-03-15 00:00:00",1.832,1.898,1.808,1.851,137266
"2016-03-16 00:00:00",1.849,1.879,1.82,1.868,112156
"2016-03-17 00:00:00",1.869,1.952,1.83,1.936,172241
"2016-03-18 00:00:00",1.933,1.957,1.881,1.907,122652
"2016-03-21 00:00:00",1.893,1.908,1.808,1.828,139542
"2016-03-22 00:00:00",1.813,1.87,1.796,1.863,116291
"2016-03-23 00:00:00",1.867,1.899,1.777,1.794,121750
"2016-03-24 00:00:00",1.791,1.827,1.772,1.806,64618
"2016-03-28 00:00:00",1.785,1.852,1.766,1.848,55160
"2016-03-29 00:00:00",1.855,1.914,1.821,1.903,10786
"2016-03-30 00:00:00",1.979,2.015,1.963,1.996,116072
"2016-03-31 00:00:00",1.99,2.028,1.93,1.959,184464
"2016-04-01 00:00:00",1.963,1.992,1.925,1.956,115458
"2016-04-04 00:00:00",1.988,2.074,1.976,1.998,158616
"2016-04-05 00:00:00",2.004,2.041,1.931,1.954,136280
"2016-04-06 00:00:00",1.941,1.943,1.897,1.911,123746
"2016-04-07 00:00:00",1.904,2.024,1.892,2.018,214842
"2016-04-08 00:00:00",2.015,2.044,1.986,1.99,163135
"2016-04-11 00:00:00",1.951,1.951,1.907,1.912,158321
"2016-04-12 00:00:00",1.934,2.03,1.922,2.004,175353
"2016-04-13 00:00:00",2.016,2.051,2.002,2.036,164613
"2016-04-14 00:00:00",2.045,2.048,1.957,1.97,147139
"2016-04-15 00:00:00",1.961,1.967,1.885,1.902,137689
"2016-04-18 00:00:00",1.882,1.95,1.872,1.94,128242
"2016-04-19 00:00:00",1.934,2.096,1.925,2.088,179590
"2016-04-20 00:00:00",2.089,2.137,2.054,2.069,189782
"2016-04-21 00:00:00",2.073,2.107,2.053,2.068,147696
"2016-04-22 00:00:00",2.061,2.147,2.034,2.14,155814
"2016-04-25 00:00:00",2.16,2.176,2.043,2.063,66033
"2016-04-26 00:00:00",2.072,2.082,1.993,2.032,55326
"2016-04-27 00:00:00",2.035,2.064,1.95,1.995,14217
"2016-04-28 00:00:00",2.149,2.155,2.054,2.078,181446
"2016-04-29 00:00:00",2.06,2.195,2.042,2.178,228083
"2016-05-02 00:00:00",2.132,2.143,2.026,2.042,161764
"2016-05-03 00:00:00",2.053,2.104,2.041,2.086,125188
"2016-05-04 00:00:00",2.086,2.16,2.061,2.141,131086
"2016-05-05 00:00:00",2.143,2.179,2.068,2.076,148472
"2016-05-06 00:00:00",2.084,2.109,2.045,2.101,128478
"2016-05-09 00:00:00",2.104,2.126,2.08,2.098,109455
"2016-05-10 00:00:00",2.1,2.173,2.091,2.158,137449
"2016-05-11 00:00:00",2.164,2.183,2.114,2.173,154963
"2016-05-12 00:00:00",2.163,2.185,2.125,2.155,144823
"2016-05-13 00:00:00",2.134,2.164,2.075,2.096,169395
"2016-05-16 00:00:00",2.08,2.087,2.023,2.029,122627
"2016-05-17 00:00:00",2.037,2.083,2.03,2.048,114930
"2016-05-18 00:00:00",2.054,2.057,1.994,2.001,129144
"2016-05-19 00:00:00",2.01,2.052,1.952,2.039,175780
"2016-05-20 00:00:00",2.037,2.074,2.015,2.062,108443
"2016-05-23 00:00:00",2.093,2.133,2.05,2.055,106263
"2016-05-24 00:00:00",2.064,2.087,1.976,1.98,80233
"2016-05-25 00:00:00",1.98,2.008,1.955,1.992,54778
"2016-05-26 00:00:00",1.972,1.985,1.909,1.963,14245
"2016-05-27 00:00:00",2.145,2.191,2.101,2.169,124443
"2016-05-29 00:00:00",2.163,2.176,2.155,2.171,0
"2016-05-30 00:00:00",2.171,2.171,2.151,2.166,0
"2016-05-31 00:00:00",2.16,2.303,2.151,2.288,194034
"2016-06-01 00:00:00",2.287,2.386,2.277,2.381,209914
"2016-06-02 00:00:00",2.369,2.424,2.361,2.405,155782
"2016-06-03 00:00:00",2.404,2.454,2.387,2.398,135938
"2016-06-06 00:00:00",2.439,2.48,2.399,2.466,150658
"2016-06-07 00:00:00",2.444,2.491,2.408,2.474,169660
"2016-06-08 00:00:00",2.481,2.501,2.453,2.468,163427
"2016-06-09 00:00:00",2.465,2.63,2.451,2.617,280217
"2016-06-10 00:00:00",2.593,2.609,2.551,2.556,165068
"2016-06-13 00:00:00",2.595,2.635,2.57,2.585,163311
"2016-06-14 00:00:00",2.576,2.621,2.535,2.604,158697
"2016-06-15 00:00:00",2.607,2.634,2.586,2.595,107729
"2016-06-16 00:00:00",2.592,2.639,2.553,2.58,149526
"2016-06-17 00:00:00",2.584,2.656,2.554,2.623,127814
"2016-06-20 00:00:00",2.652,2.759,2.65,2.747,158498
