golddate,openprice,highprice,lowprice,closeprice,volume
"2015-11-11 00:00:00",14.31,14.31,14.31,14.262,10
"2015-11-12 00:00:00",14.45,14.45,14.25,14.224,16
"2015-11-13 00:00:00",14.203,14.203,14.203,14.203,39517
"2015-11-15 00:00:00",14.33,14.365,14.305,14.365,0
"2015-11-16 00:00:00",14.45,14.455,14.185,14.221,4
"2015-11-17 00:00:00",14.135,14.135,14.135,14.17,2
"2015-11-18 00:00:00",14.02,14.1,14.02,14.08,14
"2015-11-19 00:00:00",14.242,14.242,14.242,14.242,33
"2015-11-20 00:00:00",14.106,14.106,14.106,14.106,1
"2015-11-22 00:00:00",14.145,14.145,14.075,14.125,0
"2015-11-23 00:00:00",14.14,14.145,14.14,14.042,3
"2015-11-24 00:00:00",14.275,14.28,14.275,14.169,5
"2015-11-25 00:00:00",14.168,14.168,14.168,14.168,1
"2015-11-26 00:00:00",14.15,14.345,14.105,14.23,0
"2015-11-27 00:00:00",14.16,14.35,13.905,14.008,17231
"2015-11-29 00:00:00",14.02,14.035,14.02,14.035,0
"2015-11-30 00:00:00",14.02,14.155,13.955,14.05,1623
"2015-12-01 00:00:00",14.04,14.215,14.04,14.055,281
"2015-12-02 00:00:00",14.125,14.14,13.89,13.979,210
"2015-12-03 00:00:00",13.855,14.095,13.77,14.053,498
"2015-12-04 00:00:00",14.05,14.555,14.05,14.505,92
"2015-12-06 00:00:00",14.53,14.565,14.45,14.47,0
"2015-12-07 00:00:00",14.48,14.605,14.32,14.307,60
"2015-12-08 00:00:00",14.195,14.25,14.13,14.091,72
"2015-12-09 00:00:00",14.14,14.265,14.11,14.164,37
"2015-12-10 00:00:00",14.11,14.115,14.08,14.085,6
"2015-12-11 00:00:00",14.025,14.025,13.86,13.859,20
"2015-12-13 00:00:00",13.9,13.97,13.89,13.94,0
"2015-12-14 00:00:00",13.875,13.925,13.69,13.666,90
"2015-12-15 00:00:00",13.635,13.635,13.635,13.74,2
"2015-12-16 00:00:00",13.76,14.235,13.76,14.218,22
"2015-12-17 00:00:00",13.885,13.885,13.695,13.683,150
"2015-12-18 00:00:00",13.82,14.16,13.82,14.08,20
"2015-12-20 00:00:00",14.1,14.105,14.04,14.06,0
"2015-12-21 00:00:00",14.105,14.3,14.105,14.301,19
"2015-12-22 00:00:00",14.225,14.38,14.225,14.302,35
"2015-12-23 00:00:00",14.3,14.3,14.24,14.277,71
"2015-12-24 00:00:00",14.365,14.365,14.365,14.369,4
"2015-12-27 00:00:00",14.34,14.36,14.32,14.34,0
"2015-12-28 00:00:00",14.035,14.035,13.855,13.873,10
"2015-12-29 00:00:00",14.02,14.02,14.02,13.917,8
"2015-12-30 00:00:00",13.925,13.925,13.745,13.814,106
"2015-12-31 00:00:00",13.775,13.775,13.775,13.775,13
"2016-01-03 00:00:00",13.84,13.89,13.84,13.89,0
"2016-01-04 00:00:00",14.1,14.1,13.86,13.817,27
"2016-01-05 00:00:00",13.949,13.949,13.949,13.949,4
"2016-01-06 00:00:00",14,14.065,14,13.957,105
"2016-01-07 00:00:00",14.33,14.34,14.33,14.335,286
"2016-01-08 00:00:00",14.06,14.06,13.92,13.908,6
"2016-01-10 00:00:00",13.965,13.975,13.935,13.945,0
"2016-01-11 00:00:00",13.95,14.01,13.95,13.855,17
"2016-01-12 00:00:00",13.86,13.86,13.71,13.74,15
"2016-01-13 00:00:00",13.85,14.1,13.85,14.145,17
"2016-01-14 00:00:00",13.737,13.737,13.737,13.737,1
"2016-01-15 00:00:00",13.884,13.884,13.884,13.884,44607
"2016-01-17 00:00:00",13.905,13.92,13.9,13.91,0
"2016-01-18 00:00:00",13.905,13.985,13.835,13.9,0
"2016-01-19 00:00:00",14.065,14.065,14.065,14.11,3
"2016-01-20 00:00:00",14.147,14.147,14.147,14.147,1
