oildate,openprice,highprice,lowprice,closeprice,volume
"2015-11-11 00:00:00",47.08,47.73,45.62,45.81,193335
"2015-11-12 00:00:00",45.92,46.27,43.89,44.06,132491
"2015-11-13 00:00:00",44.08,44.85,43.57,43.61,28631
"2015-11-16 00:00:00",44.7,45.18,43.15,44.56,310123
"2015-11-17 00:00:00",44.7,45.1,43.5,43.57,260695
"2015-11-18 00:00:00",43.97,44.74,43.34,44.14,255682
"2015-11-19 00:00:00",44.3,44.76,43.7,44.18,201033
"2015-11-20 00:00:00",44.38,45.5,44.06,44.66,245339
"2015-11-23 00:00:00",44.46,45.73,43.57,44.83,290998
"2015-11-24 00:00:00",45.11,46.5,44.92,46.12,271930
"2015-11-25 00:00:00",46.04,46.5,45.03,46.17,229114
"2015-11-26 00:00:00",46.23,46.32,45,45.46,97318
"2015-11-27 00:00:00",45.57,45.63,44.79,44.86,165308
"2015-11-30 00:00:00",44.86,45.75,44.44,44.61,235944
"2015-12-01 00:00:00",44.62,45.18,44.03,44.44,301200
"2015-12-02 00:00:00",44.32,44.64,42.43,42.49,324059
"2015-12-03 00:00:00",42.77,44.69,42.61,43.84,271482
"2015-12-04 00:00:00",43.98,44.82,42.67,43,345828
"2015-12-07 00:00:00",43.26,43.26,40.6,40.73,272442
"2015-12-08 00:00:00",40.82,41.45,39.81,40.26,328376
"2015-12-09 00:00:00",40.63,41.59,39.57,40.11,284646
"2015-12-10 00:00:00",40.44,40.7,39.46,39.73,188988
"2015-12-11 00:00:00",39.55,39.74,37.36,37.93,167311
"2015-12-14 00:00:00",37.85,38.43,36.33,37.92,115119
"2015-12-15 00:00:00",37.89,39.41,37.55,38.45,73703
"2015-12-16 00:00:00",38.09,38.45,37.11,37.19,18232
"2015-12-17 00:00:00",37.6,37.93,36.75,37.06,200845
"2015-12-18 00:00:00",36.81,37.73,36.41,36.88,218042
"2015-12-21 00:00:00",36.55,36.75,36.04,36.35,175115
"2015-12-22 00:00:00",36.36,36.72,35.98,36.11,166304
"2015-12-23 00:00:00",36.37,37.88,36.28,37.36,196978
"2015-12-24 00:00:00",37.77,38.1,36.91,37.89,111015
"2015-12-28 00:00:00",37.84,37.95,36.41,36.62,84344
"2015-12-29 00:00:00",36.59,37.98,36.56,37.79,171677
"2015-12-30 00:00:00",37.29,37.55,36.35,36.46,173512
"2015-12-31 00:00:00",36.57,37.95,36.1,37.28,149598
"2016-01-04 00:00:00",37.85,38.99,36.77,37.22,321841
"2016-01-05 00:00:00",37.27,37.57,36.24,36.42,275471
"2016-01-06 00:00:00",36.64,36.67,34.13,34.23,296862
"2016-01-07 00:00:00",34.52,34.74,32.16,33.75,291511
"2016-01-08 00:00:00",34.02,34.72,32.78,33.55,206974
"2016-01-11 00:00:00",33.34,33.38,31.17,31.55,202062
"2016-01-12 00:00:00",31.54,32.38,30.34,30.86,142525
"2016-01-13 00:00:00",30.82,31.92,29.96,30.31,91957
"2016-01-14 00:00:00",30.26,31.23,29.73,31.03,16390
"2016-01-15 00:00:00",31,31.02,28.82,28.94,344461
"2016-01-18 00:00:00",28.73,29.58,27.67,28.55,211256
"2016-01-19 00:00:00",28.7,30.24,28.6,28.76,419479
"2016-01-20 00:00:00",28.66,28.75,27.1,27.88,375397
"2016-01-21 00:00:00",27.99,29.84,27.29,29.25,394256
"2016-01-22 00:00:00",29.62,32.3,29.29,32.18,407784
"2016-01-25 00:00:00",32.1,32.81,30,30.5,310139
"2016-01-26 00:00:00",30.01,32.72,29.27,31.8,335094
"2016-01-27 00:00:00",31.2,33.49,30.83,33.1,257108
"2016-01-28 00:00:00",32.84,35.84,32.56,33.89,195144
"2016-01-29 00:00:00",34.08,35,33.59,34.74,29658
"2016-02-01 00:00:00",35.85,36.25,33.92,34.24,331872
"2016-02-02 00:00:00",34.18,34.18,32.23,32.72,346885
"2016-02-03 00:00:00",32.41,35.53,32.3,35.04,396576
"2016-02-04 00:00:00",35.32,35.84,34.15,34.46,323933
"2016-02-05 00:00:00",34.39,35.14,33.81,34.06,296567
"2016-02-08 00:00:00",33.99,34.68,32.77,32.88,211549
"2016-02-09 00:00:00",33.17,33.56,30.28,30.32,305766
"2016-02-10 00:00:00",30.95,31.9,30.35,30.84,332987
"2016-02-11 00:00:00",30.83,31.35,29.92,30.06,347586
"2016-02-12 00:00:00",31.31,33.44,30.85,33.36,394479
"2016-02-15 00:00:00",32.77,34.09,32.67,33.39,160505
"2016-02-16 00:00:00",34.51,35.55,31.92,32.18,398492
"2016-02-17 00:00:00",32.54,34.99,31.82,34.5,355922
"2016-02-18 00:00:00",34.91,35.73,33.79,34.28,324096
"2016-02-19 00:00:00",33.88,34.46,32.68,33.01,287089
"2016-02-22 00:00:00",33.25,34.97,32.85,34.69,233332
"2016-02-23 00:00:00",34.54,35.11,32.9,33.27,348078
"2016-02-24 00:00:00",32.98,34.67,32.37,34.41,344004
"2016-02-25 00:00:00",34.39,35.74,33.29,35.29,210573
"2016-02-26 00:00:00",35.1,37,34.73,35.1,126420
"2016-02-29 00:00:00",35.1,36.23,34.83,35.97,30235
"2016-03-01 00:00:00",36.6,37.25,35.95,36.81,276263
"2016-03-02 00:00:00",36.62,37.4,36.1,36.93,278167
"2016-03-03 00:00:00",37.05,37.37,36.35,37.07,256490
"2016-03-04 00:00:00",37.04,38.95,36.82,38.72,295792
"2016-03-07 00:00:00",38.88,41.04,38.87,40.84,341913
"2016-03-08 00:00:00",40.71,41.48,39.31,39.65,352250
"2016-03-09 00:00:00",39.65,41.18,39.39,41.07,333486
"2016-03-10 00:00:00",40.89,41.01,39.63,40.05,287782
"2016-03-11 00:00:00",40.33,41.03,40.02,40.39,276648
"2016-03-14 00:00:00",40.25,40.65,38.82,39.53,264706
"2016-03-15 00:00:00",39.67,39.74,38.32,38.74,224361
"2016-03-16 00:00:00",39.14,40.44,38.83,40.33,263872
"2016-03-17 00:00:00",40.45,41.6,40.41,41.54,249228
"2016-03-18 00:00:00",41.38,42.54,41.07,41.2,286653
"2016-03-21 00:00:00",41.31,41.88,40.48,41.54,234102
"2016-03-22 00:00:00",41.47,42.08,40.97,41.79,268210
"2016-03-23 00:00:00",41.56,41.82,40.42,40.47,240906
"2016-03-24 00:00:00",40.4,40.64,39.22,40.44,203276
"2016-03-28 00:00:00",40.58,41,39.64,40.27,78614
"2016-03-29 00:00:00",40.19,40.25,38.76,39.14,149529
"2016-03-30 00:00:00",39.42,40.61,39.09,39.26,103118
"2016-03-31 00:00:00",39.12,40,38.74,39.6,27797
"2016-04-01 00:00:00",40.14,40.43,38.55,38.67,286168
"2016-04-04 00:00:00",38.69,38.92,37.5,37.69,286653
"2016-04-05 00:00:00",37.5,38.44,37.27,37.87,296446
"2016-04-06 00:00:00",38.4,39.94,38.34,39.84,323374
"2016-04-07 00:00:00",39.9,40.29,38.7,39.43,308721
"2016-04-08 00:00:00",39.68,42.01,39.62,41.94,340222
"2016-04-11 00:00:00",42,43.06,41.41,42.83,279920
"2016-04-12 00:00:00",42.7,44.81,42.56,44.69,357354
"2016-04-13 00:00:00",44.44,44.94,43.76,44.18,348587
"2016-04-14 00:00:00",44.01,44.62,43.29,43.84,234367
"2016-04-15 00:00:00",43.8,44.05,42.28,43.1,285166
"2016-04-18 00:00:00",41.8,43.43,40.1,42.91,383372
"2016-04-19 00:00:00",43.14,44.5,42.6,44.03,355947
"2016-04-20 00:00:00",43.52,45.88,42.81,45.8,297260
"2016-04-21 00:00:00",45.54,46.18,44.44,44.53,312602
"2016-04-22 00:00:00",44.75,45.9,44.3,45.11,272848
"2016-04-25 00:00:00",45.13,45.59,44.26,44.48,211675
"2016-04-26 00:00:00",44.69,46.49,44.36,45.74,199235
"2016-04-27 00:00:00",46.26,47.45,45.63,47.18,150793
"2016-04-28 00:00:00",47.1,48.19,46.74,48.14,113083
"2016-04-29 00:00:00",47.9,48.5,47.41,48.13,29515
"2016-05-02 00:00:00",47.37,47.4,45.72,45.83,168090
"2016-05-03 00:00:00",45.8,46.4,44.62,44.97,276403
"2016-05-04 00:00:00",45.21,46.01,44.19,44.62,293821
"2016-05-05 00:00:00",45.08,46.77,44.65,45.01,280794
"2016-05-06 00:00:00",45.16,46.12,44.19,45.37,283651
"2016-05-09 00:00:00",45.75,46.48,43.43,43.63,364584
"2016-05-10 00:00:00",43.49,45.7,43.33,45.52,343209
"2016-05-11 00:00:00",45.59,47.75,44.8,47.6,381737
"2016-05-12 00:00:00",47.32,48.19,46.8,48.08,353848
"2016-05-13 00:00:00",47.85,48.12,47.26,47.83,239047
"2016-05-16 00:00:00",47.8,49.47,47.77,48.97,294377
"2016-05-17 00:00:00",49.03,49.75,48.57,49.28,262324
"2016-05-18 00:00:00",49.36,49.85,48.45,48.93,319810
"2016-05-19 00:00:00",48.67,48.88,47.38,48.81,302095
"2016-05-20 00:00:00",48.9,49.39,48.07,48.72,255583
"2016-05-23 00:00:00",48.72,48.84,47.58,48.35,225090
"2016-05-24 00:00:00",48.35,49.24,47.8,48.61,211583
"2016-05-25 00:00:00",49.16,49.96,48.91,49.74,237787
